,Unnamed: 0,Make,Model,Year,Mileage (KM),Location,Transmission,Selling Condition,Colour,Price,Used Location,MPG
4150,4150,Lexus,Rx,2000.0,259566.0,"C45, Owerri",Automatic,Registered,BLACK,1145000,Nigerian used,23
4151,4151,Toyota,Corolla,2005.0,157719.0,"C45, ",Manual,Imported,gray,2138000,Foreign used,34
4152,4152,Toyota,Camry,2017.0,63668.0,"C45, Lagos",Automatic,Imported,Grey,7895000,Foreign used,26
4153,4153,Mercedes-Benz,E500,2005.0,128011.0,"C45, Lagos",Automatic,Registered,0,1482500,Nigerian used,18
4154,4154,Toyota,Camry,2012.0,135777.0,"C45, Lagos",Automatic,Imported,BLACK,3610000,Foreign used,26
4155,4155,Toyota,Rav4,2008.0,0.0,"C45, Lagos",Automatic,Registered,Black,2832500,Nigerian used,30
4156,4156,Nissan,Altima,2011.0,141939.0,"C45, ",Automatic,Imported,WINE,2832500,Foreign used,31
4157,4157,Honda,Accord,1998.0,212565.0,"C45, ",Automatic,Registered,Silver,626000,Nigerian used,48
4158,4158,Toyota,Avalon,2000.0,295438.0,"C45, Port",Automatic,Registered,Red,1130000,Nigerian used,26
4159,4159,Toyota,Camry,2009.0,249816.0,"C45, ",Automatic,Imported,Gold,3282500,Foreign used,26
4160,4160,Toyota,Highlander,2012.0,138345.0,"C45, Abuja",Automatic,Imported,Grey,7850000,Foreign used,36
4161,4161,Acura,Mdx,2004.0,167458.0,"C45, Lagos",Automatic,Imported,BROWN,1914000,Foreign used,22
4162,4162,Ford,Expedition,2006.0,133276.0,"C45, Lagos",Automatic,Registered,0,1466000,Nigerian used,19
4163,4163,Acura,Rdx,2008.0,106384.0,"C45, Lagos",Automatic,Registered,grey,1932500,Nigerian used,24
