,Make,Model,Year,Mileage (KM),Location,Transmission,Selling Condition,Colour,Price,Used Location
4877,Ford,Explorer,2012,134208,"C45, Lagos",Automatic,Registered,0,3395000,Nigerian used
4878,Peugeot,206,2008,132549,"C45, Ilorin",Manual,Registered,0,872500,Nigerian used
4879,Lexus,Rx,2000,11558,"C45, Ilorin",Automatic,Registered,0,1648750,Nigerian used
4880,Ford,Edge,2007,92787,"C45, Abuja",Automatic,Registered,BLACK,2832500,Nigerian used
4881,Peugeot,607,2002,251183,"C45, Lagos",Automatic,Imported,BLUE,1505000,Foreign used
4882,GAC,GS4,2018,17483,"C45, Lagos",Automatic,Registered,Black,8060000,Nigerian used
4883,Peugeot,408,2011,99510,"C45, Abuja",Automatic,Registered,Grey,1620000,Nigerian used
4884,Mercedes-Benz,E350,2012,140675,"C45, Owerri",Automatic,Imported,BLACK,6910000,Foreign used
4885,Hyundai,Elantra,2009,231397,"C45, Lagos",Automatic,Imported,BLACK,1965000,Foreign used
4886,Lexus,Es,2004,293057,"C45, Abuja",Automatic,Imported,SILVER,2945000,Foreign used
4887,Honda,Accord,2008,123808,"C45, Abuja",Automatic,Registered,Black,1735000,Nigerian used
4888,Volkswagen,Passat,2006,116443,"C45, Abuja",Automatic,Registered,Black,1275000,Nigerian used
4889,Lexus,Es,2008,157485,"C45, Lagos",Automatic,Imported,BLUE,4070000,Foreign used
4890,Ford,Explorer,2002,21282,"C45, Onitsha",Automatic,Imported,Black,2270000,Foreign used
4891,Honda,Ridgeline,2008,233216,"C45, Lagos",Automatic,Registered,GREY,1820000,Nigerian used
4892,Mitsubishi,Pajero,2004,270490,"C45, Lagos",Automatic,Registered,Black,1850000,Nigerian used
4893,Toyota,Sequoia,2008,101044,"C45, Abuja",Automatic,Registered,White,5760000,Nigerian used
4894,Land,Range,2015,56561,"C45, Lagos",Automatic,Registered,White,32210000,Nigerian used
4895,Toyota,Venza,2009,269345,"C45, Abuja",Automatic,Imported,Blue,5760000,Foreign used
4896,Toyota,Highlander,2009,198669,"C45, ",Automatic,Imported,BLUE,4745000,Foreign used
4897,Nissan,Maxima,1999,178924,"C45, Lagos",Automatic,Registered,Purple,470000,Nigerian used
4898,Toyota,Highlander,2005,109508,"C45, Abuja",Automatic,Registered,Grey,2310000,Nigerian used
4899,Mitsubishi,SpaceStar,2000,278212,"C45, Lagos",Manual,Imported,0,930000,Foreign used
4900,Toyota,Tundra,2006,181170,"C45, Abuja",Automatic,Registered,BLACK,3845000,Nigerian used
4901,Toyota,Highlander,2004,57617,"C45, Abuja",Automatic,Registered,Black,3230000,Nigerian used
4902,Honda,Pilot,2006,90175,"C45, ",Automatic,Imported,BLUE,2045000,Foreign used
4903,Mercedes-Benz,Gl450,2007,7956,"C45, Lagos",Automatic,Imported,0,4520000,Foreign used
